event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
37,"จุฬาฯรวมพล #CUassemble ..เพราะ
เกียรติภูมิจุฬา คือ เกียรติแห่ง
การรับใช้ประชาชน",28,1,1,24-02-2563,"หอประชุมจุฬาลงกรณ์มหาวิทยาลัย 
กรุงเทพมหานคร","-แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่ 
และขับไล่รัฐบาล",-,"1,2",#CUassemble ,-
38,#มอกะเสดไม่ใช่ขนมหวานราดกะทิ,28,1,1,24-02-2563,"หอประชุมใหญ่ 
มหาวิทยาลัยเกษตรศาสตร์ บางเขน 
กรุงเทพมหานคร",-วิจารณ์การทำงานของรัฐบาล พล.อ.ประยุทธ์ จันทร์โอชา,-,1," #มอกะเสดไม่ใช่
ขนมหวานราดกะทิ",-
39,"จุดเทียนปราศรัย ประชาธิปไตย? 
แฟลชม็อบ",28,1,1,24-02-2563,"มหาวิทยาลัยศิลปากร 
วิทยาเขตพระราชวังสนามจันทร์ 
จ.นครปฐม",-วิจารณ์การทำงานของรัฐบาล,-,"1,2",-,-
40,#กันเกราไม่เอากะลา,28,1,1,25-02-2563,จ.อุบลราชธานี,"วิจารณ์การทำงานของรัฐบาลและแสดงความคิดเห็นต่อกรณีศาลรัฐธรรมนูญตัดสิน
ยุบพรรคอนาคตใหม่",-,1,#กันเกราไม่เอากะลา,-
41,#BUกูไม่ใช่สลิ่ม,28,1,1,25-02-2563,"มหาวิทยาลัยกรุงเทพ 
จ.ปทุมธานี",วิจารณ์การทำงานของรัฐบาลและขับไล่รัฐบาล,-,"1,2",#BUกูไม่ใช่สลิ่ม,-
42,#มหาวิทยาลัยปลูกกัญชานักศึกษาไม่กินสลิ่ม,28,1,1,25-02-2563,"มหาวิทยาลัยแม่โจ้ 
จ.เชียงใหม่",แสดงออกถึงพลังรักประชาธิปไตย ต่อต้านเผด็จการ,-,1,"#มหาวิทยาลัยปลูกกัญชา
นักศึกษาไม่กินสลิ่ม",-
43,#ช้างเผือกจะไม่ทน,28,1,1,25-02-2563,"ศาลาธรรม มหาวิทยาลัยเชียงใหม่
จ.เชียงใหม่",เรียกร้องให้นายกรัฐมนตรีลาออกและให้ยุบสภา," 1.ให้นายกรัฐมนตรีลาออก
2.ยุบสภา",2,#ช้างเผือกจะไม่ทน,-
44,#ศาลายางดกินของหวานหลายสี,28,1,1,25-02-3563,"อาคารศูนย์การเรียนรู้มหิดล 
จ.นครปฐม",แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,1,"#ศาลายางดกินของ
หวานหลายสี",-
45,#ราชมงคลจะไม่ทนอีกต่อไป,28,1,1,25-02-3563,"มหาวิทยาลัยเทคโนโลยีราช
มงคลธัญบุรี 
จ.ปทุมธานี",เพื่อแสดงออกเชิงสัญลักษณ์ไม่เอาเผด็จการ,-,1,"#ราชมงคลจะไม่ทน
อีกต่อไป",-
46,#นิด้ามาน้อยแต่มาโว้ย,28,1,1,26-02-2563,"สถาบันบัณฑิตพัฒนบริหารศาสตร์
กรุงเทพมหานคร",ขับไล่รัฐบาล, รัฐบาลและนายกประยุทธ์ จันทร์โอชา ออกไป,2,#นิด้ามาน้อยแต่มาโว้ย,-
47,#มขพอกันที,28,1,1,26-02-2563,"บึงสีฐาน มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น",วิจารณ์การทำงานและขับไล่รัฐบาล,-,2,#มขพอกันที,-
48,มศว. องครักษ์ ไว้อาลัย 'ประชาธิปไตย',28,1,1,26-02-2563,"มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์ 
จ.นครนายก",ไว้อาลัย 'ประชาธิปไตย',-,1,"มศว. องครักษ์ ไว้อาลัย 
'ประชาธิปไตย'",-
49,#เด็กเดชฯอยากเนรเทศเผด็จการ,28,1,1,26-02-2563,"หน้าโรงเรียนเดชอุดม 
จ.อุบลราชธานี",ประกาศจุดยืนต่อต้านเผด็จการ,-,1,"#เด็กเดชฯอยากเนรเทศ
เผด็จการ",-
50,"#ราชมงคลจะไม่ทนอีกต่อไป มทร.อีสาน
 วิทยาเขตขอนแก่น",28,1,1,26-02-2563,"มหาวิทยาลัยเทคโนโลยีราช
มงคลอีสาน วิทยาเขตขอนแก่น 
จ.ขอนแก่น",เรียกร้องประชาธิปไตย,-,1,"#ราชมงคลจะไม่ทนอีก
ต่อไป มทร.อีสาน 
วิทยาเขตขอนแก่น",-
51,#ราชภัฏอยากงัดกับสลิ่ม,28,1,1,26-02-2563,"มหาวิทยาลัยราชภัฏพิบูลสงคราม
จ.พิษณุโลก",รวมตัวแสดงออกถึงประชาธิปไตย และขับไล่รัฐบาล,-,"1,2",#ราชภัฏอยากงัดกับสลิ่ม,-
52,#สวที่อยู่ข้างประชาธิปไตย,28,1,1,26-02-2563,"โรงเรียนสตรีวิทยา 
กรุงเทพมหานคร",เพื่อร่วมแสดงออกทางการเมือง,-,1,#สวที่อยู่ข้างประชาธิปไตย,-
53,#เชียงรายไม่เอาเผด็จการ,28,1,2,26-02-2563,"ศาลากลางจังหวัดเชียงรายหลังเก่า
จ.เชียงราย",ไม่ต้องการเผด็จการ,"1.เรียกร้องให้ยุบสภา
2.แก้ไขรัฐธรรมนูญ เอา ส.ว.250 เสียงออกไป
3.ให้ พล.อ.ประยุทธ์ จันทร์โอชาเลิกยุ่งเกี่ยวการเมือง","2,3",#เชียงรายไม่เอาเผด็จการ,-
54,#ดอกจานบานที่อุดรบ่ออนซอนเผด็จการ,28,1,1,26-02-2563,"มหาวิทยาลัยราชภัฏอุดรธานี
จ.อุดรธานี",แสดงความกังวลต่อกรณีการยุบพรรคอนาคตใหม่และการทำงานของรัฐบาล,-,1,"#ดอกจานบานที่อุดร
บ่ออนซอนเผด็จการ",-
55,#ศิลปากรขอมีซีน,28,1,2,26-02-2563,"มหาวิทยาลัยศิลปากร 
วิทยาเขตพระราชวังสนามจันทร์
จ.นครปฐม",ขับไล่รัฐบาล,-,"1,2",#ศิลปากรขอมีซีน,-
56,#วังท่าพระไม่สายลมแสงแดด,28,1,1,26-02-2563,"ลาน อ.ศิลป์ พีระศรี
 มหาวิทยาลัยศิลปากร วังท่าพระ 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาล วิจารณ์ศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่ ,เรียกร้องให้แก้ไขรัฐธรรมนูญ,"1,3",#วังท่าพระไม่สายลมแสงแดด,-
57,#ศิลป์เพชรไม่เงียบ,28,1,1,26-02-2563,"มหาวิทยาลัยศิลปากร 
วิทยาเขตสารสนเทศเพชรบุรี 
จ.เพชรบุรี",แสดงจุดยืนว่าต้องการประชาธิปไตย,-,1,#ศิลป์เพชรไม่เงียบ,-
58,#ขอกู้คืนเกียรติ คนยังยืนโดดเด่นโดยท้าทาย,28,1,1,26-02-2563,"มหาวิทยาลัยวลัยลักษณ์ 
จ.นครศรีธรรมราช",-,-,1,"#ขอกู้คืนเกียรติ คนยังยืนโดดเด่น
โดยท้าทาย",-
59,#หนังสือก็ต้องอ่านของหวานไม่ชอบกิน,28,1,1,26-02-2563,"สถาบันเทคโนโลยีพระจอมเกล้า
เจ้าคุณทหารลาดกระบัง 
กรุงเทพมหานคร","แสดงจุดยืนต่อต้านความไม่เป็นประชาธิปไตย จากกรณีศาลรัฐธรรมนูญตัดสิน
ยุบพรรคอนาคตใหม่",-,1,"#หนังสือก็ต้องอ่านของหวาน
ไม่ชอบกิน",-
60,"#มอออตานีขยี้รอบสอง แฟลชม็อบจากรูสะมิแล 
ไม่แคร์เผด็จการ",28,1,1,26-02-2563,"ตึกกิจกรรมนักศึกษา 
มหาวิทยาลัยสงขลานครินทร์ 
วิทยาเขตปัตตานี 
จ.ปัตตานี",วิจารณ์การทำงานของรัฐบาล เรียกร้องประชาธิปไตยเเละสังคมที่เป็นธรรม,"ข้อเรียกร้อง 3 ข้อ
1. ให้มีการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญเพื่อให้มีการร่างรัฐธรรมนูญและเปิดให้มี
การลงประชามติร่างรัฐธรรมนูญ 
2. ให้ผู้ดำรงตำแหน่งในองค์กรอิสระที่ได้รับการแต่งตั้ง
หรือขยายระยะเวลาการดำรงตำแหน่งจากคสช.ลาออก 
 3. ให้พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีลาออกจากตำแหน่ง","1,2,3","#มอออตานีขยี้รอบสอง 
แฟลชม็อบจากรูสะมิแล 
ไม่แคร์เผด็จการ",-
61,#ธรรมศาสตร์และการชุมนุม,28,1,1,26-02-2563,"ลานพญานาค มหาวิทยาลัยธรรมศาสตร์ รังสิต 
จ.ปทุมธานี",วิจารณ์การทำงานและขับไล่รัฐบาล และเรียกร้องประชาธิปไตย,- เรียกร้องประชาธิปไตย,1,#ธรรมศาสตร์และการชุมนุม,-
62,#มศวขอมีจุดยืน,28,1,1,26-02-2563,"มหาวิทยาลัยศรีนครินทรวิโรฒ 
ประสานมิตร 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญ,-,1,#มศวขอมีจุดยืน,-
63,#ทีมลูกระนาดอยากจะฟาดบ้างแม่,28,1,1,26-02-2563,"หอประชุมธํารง บัวศรี มหาวิทยาลัยบูรพา 
จ.ชลบุรี",เพื่อแสดงออกคัดค้านความไม่เป็นธรรมและรัฐบาลเผด็จการ,-,1,#ทีมลูกระนาดอยากจะฟาดบ้างแม่,-
64,"การชุมนุมของนักศึกษามหาวิทยาลัยราชภัฏ
สุราษฎร์ธานี",28,1,1,26-02-2563,"มหาวิทยาลัยราชภัฎสุราษฎร์ธานี 
จ.สุราษฎร์ธานี",แสดงถึงความห่วงกังวลเกี่ยวกับคำวินิจฉัยของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,1,-,-
65,#ลูกแม่ไทรไม่เอาเผด็จการ,28,1,1,26-02-2563,"มหาวิทยาลัยหอการค้าไทย 
กรุงเทพมหานคร","วิจารณ์การทำงานของรัฐบาล

",-,2,#ลูกแม่ไทรไม่เอาเผด็จการ,-
66,#มรนเพื่อประชาธิปไตย,28,1,1,27-02-2563,"มหาวิทยาลัยราชภัฎนครปฐม 
จ.นครปฐม",เพื่อแสดงออกถึงความไม่เห็นด้วยกับการยุบพรรคอนาคตใหม่ ,-เรียกร้องเอาประชาธิปไตยไม่เอาเผด็จการ,1,#มรนเพื่อประชาธิปไตย,-
67,#ศาลาวีรชนจะไม่ใช่ที่หลบฝนอีกต่อไป,28,1,1,27-02-2563,"มหาวิทยาลัยพระจอมเกล้าธนบุรี
กรุงเทพมหานคร",เรียกร้องให้ประเทศเป็นประชาธิปไตยอย่างแท้จริง,-,1,"#ศาลาวีรชนจะไม่ใช่ที่หลบฝน
อีกต่อไป",-
68,#ราชมงคลอีสานต่อต้านเผด็จการ,28,1,1,27-02-2563,"มหาวิทยาลัยเทคโนโลยีราชมงคล
อีสาน 
จ.นครราชสีมา",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญ,-,1,#ราชมงคลอีสานต่อต้านเผด็จการ,-
69,#รังสิตขับไล่เผด็จการ,28,1,1,27-02-2563,"มหาวิทยาลัยรังสิต 
จ.ปทุมธานี",ความล้มเหลวในการบริหารงานของรัฐบาลตลอดหลายปีที่ผ่านมา,-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,2,#รังสิตขับไล่เผด็จการ,-
70,#ลูกพ่อขุนไม่รับใช้เผด็จการ,28,1,1,27-02-2563,"มหาวิทยาลัยรามคำแหง 
กรุงเทพมหานคร","เรียกร้องให้แก้รัฐธรรมนูญ ให้ผู้ดำรงตำแหน่งในองค์กรอิสระ 
ที่ได้รับการแต่งตั้งในสมัยรัฐประหารลาออกและให้นายกรัฐมนตรีลาออก","ข้อเรียกร้อง 3 ข้อ คือ 
1.)​ ให้ร่างรัฐธรรมนูญใหม่ทั้งฉบับ โดยสภาร่างรัฐธรรมนูญ (สสร.) 
รับฟังความคิดเห็นอย่างอิสระ และทำประชามติ
 2.) ให้นายกรัฐมนตรีต้องลาออก 
 3.) ผู้ดำรงตำแหน่งในองค์กรอิสระ ที่ได้รับการแต่งตั้งในสมัยรัฐประหารลาออก","2,3",#ลูกพ่อขุนไม่รับใช้เผด็จการ,-
71,#มมสไม่เอาเผด็จการ,28,1,1,27-02-2563,"มหาวิทยาลัยมหาสารคาม 
จ.มหาสารคาม",ขับไล่รัฐบาลและเรียกร้องให้ร่างรัฐธรรมนูญฉบับใหม่,"-เรียกร้องให้นายกรัฐมนตรีลาออกรวมไปถึงให้มีการร่างรัฐธรรมนูญฉบับใหม่ที่
เป็นของประชาชน ","2,3",#มมสไม่เอาเผด็จการ,-
72,#สวนสุนันทาไม่เป็นขี้ข้าเผด็จการ,28,1,1,27-02-2563,"มหาวิทยาลัยราชภัฏสวนสุนันทา
กรุงเทพมหานคร","แสดงจุดยืนทางการเมืองเพื่อเรียกร้องความเป็นธรรมให้พรรคอนาคตใหม่ 
จากการที่ศาลรัฐธรรมนูญวินิจฉัยให้ยุบพรรคและผลักดันประชาธิปไตย",-,1,#สวนสุนันทาไม่เป็นขี้ข้าเผด็จการ,-
73,#เกียมอุดมไม่ก้มหัวให้เผด็จการ,28,1,1,27-02-2563,"โรงเรียนเตรียมอุดมศึกษา 
กรุงเทพมหานคร",เรียกร้องให้มีรัฐบาลที่มาจากเสียงของประชาชนอย่างแท้จริง,-เรียกร้องให้มีรัฐบาลที่มาจากเสียงของประชาชนอย่างแท้จริง,2,#เกียมอุดมไม่ก้มหัวให้เผด็จการ,-
74,#มธศูนย์ป่าปงเกลียดเผด็จการ,28,1,1,27-02-2563,"มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง 
จ.ลำปาง",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญกรณียุบพรรคอนาคตใหม่,-,1,#มธศูนย์ป่าปงเกลียดเผด็จการ,-
75,#spuไม่กล้าขยับอยู่ใกล้ราบ11,28,1,1,27-02-2563,"มหาวิทยาลัยศรีปทุม 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญกรณียุบพรรคอนาคตใหม่,-,1,#spuไม่กล้าขยับอยู่ใกล้ราบ11,-
76,#ตีนดอยjoinชุมนุม,28,1,1,27-02-2563,"มหาวิทยาลัยเทคโนโลยีราชมงคล
ล้านนา วิทยาเขตภาคพายัพ 
จ.เชียงใหม่",เกี่ยวกับความไม่ชอบธรรมของรัฐบาล และศาลรัฐธรรมนูญ,"ข้อเรียกร้อง
-ให้นายกรัฐมนตรีลาออก 
-ให้ทำการยุบสภาเพื่อเลือกตั้งใหม่","1,2",#ตีนดอยjoinชุมนุม,-
77,#อิงโขงไม่อิงเผด็จการ,28,1,1,27-02-2563,"คณะศิลปศาสตร์ มหาวิทยาลัย
นครพนม 
จ.นครพนม","วิจารณ์การทำงานและขับไล่รัฐบาลและแสดงความคิดเห็นต่อศาลรัฐธรรมนูญกรณี
ตัดสินยุบพรรคอนาคตใหม่",-,"1,2",#อิงโขงไม่อิงเผด็จการ,-
78,#เด็กSNRUร่วมสู้อยุติธรรม,28,1,1,27-02-2563,"มหาวิทยาลัยราชภัฎสกลนคร
จ.สกลนคร",ขับไล่รัฐบาลและทวงคืนประชาธิปไตย,-,2,#เด็กSNRUร่วมสู้อยุติธรรม,-
79,#KUหน้าทะเลหลังเขาไม่เอาลุง,28,1,1,27-02-2563,"มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตศรีราชา 
จ.ชลบุรี",เพื่อแสดงความไม่เห็นด้วยกรณีมีการยุบพรรคอนาคตใหม่,-,1,#KUหน้าทะเลหลังเขาไม่เอาลุง,-
80,"กิจกรรมชูป้ายของนักศึกษามหาวิทยาลัย
สงขลานครินทร์ วิทยาเขตสุราษฎร์ธานี",28,1,1,27-02-2563,"มหาวิทยาลัยสงขลานครินทร์
 วิทยาเขตสุราษฎร์ธานี 
จ.สุราษฎร์ธานี",-,-,1,-,-
